t,sensor_V,control_T,control_V,heat_range,heat_%
1560447079.0009694,+1.4906,+001.39,+1.7374,0,000
1560447097.0217385,+1.4907,+001.39,+1.7374,0,000
1560447115.0427146,+1.4907,+001.39,+1.7374,0,000
1560447133.063556,+1.4907,+001.39,+1.7374,0,000
1560447151.084578,+1.4907,+001.39,+1.7374,0,000
1560447169.1056468,+1.4907,+001.39,+1.7374,0,000
1560447187.1264863,+1.4907,+001.39,+1.7375,0,000
1560447205.1474786,+1.4907,+001.39,+1.7375,0,000
1560447223.1685224,+1.4907,+001.39,+1.7375,0,000
1560447241.1896238,+1.4907,+001.39,+1.7376,0,000
1560447259.210527,+1.4908,+001.39,+1.7376,0,000
1560447277.2316377,+1.4908,+001.39,+1.7377,0,000
1560447295.252761,+1.4908,+001.39,+1.7378,0,000
1560447313.2735474,+1.4908,+001.39,+1.7378,0,000
1560447331.294612,+1.4908,+001.39,+1.7379,0,000
1560447349.3156714,+1.4908,+001.39,+1.7379,0,000
1560447367.3347116,+1.4908,+001.39,+1.7380,0,000
1560447385.3556428,+1.4908,+001.39,+1.7380,0,000
1560447403.3766708,+1.4908,+001.39,+1.7380,0,000
1560447421.3976939,+1.4908,+001.39,+1.7380,0,000
1560447439.4185495,+1.4908,+001.39,+1.7380,0,000
1560447457.4396074,+1.4908,+001.39,+1.7380,0,000
1560447475.460686,+1.4908,+001.39,+1.7381,0,000
1560447493.481451,+1.4908,+001.39,+1.7382,0,000
1560447511.5025158,+1.4908,+001.39,+1.7382,0,000
1560447529.523649,+1.4909,+001.39,+1.7382,0,000
1560447547.5447035,+1.4909,+001.39,+1.7383,0,000
1560447565.5656815,+1.4909,+001.39,+1.7383,0,000
1560447583.586757,+1.4909,+001.39,+1.7383,0,000
1560447601.6078095,+1.4910,+001.39,+1.7383,0,000
1560447619.6283286,+1.4910,+001.39,+1.7382,0,000
1560447637.6494663,+1.4910,+001.39,+1.7382,0,000
1560447655.6705968,+1.4910,+001.39,+1.7382,0,000
1560447673.691526,+1.4910,+001.39,+1.7382,0,000
1560447691.7125914,+1.4910,+001.39,+1.7382,0,000
1560447709.7335887,+1.4911,+001.39,+1.7382,0,000
1560447727.7546058,+1.4911,+001.39,+1.7382,0,000
1560447745.7755435,+1.4911,+001.39,+1.7382,0,000
1560447763.7966897,+1.4911,+001.39,+1.7381,0,000
1560447781.817694,+1.4911,+001.39,+1.7381,0,000
1560447799.8385673,+1.4911,+001.39,+1.7381,0,000
1560447817.8577669,+1.4911,+001.39,+1.7381,0,000
1560447835.878627,+1.4911,+001.39,+1.7381,0,000
1560447853.8981926,+1.4912,+001.39,+1.7381,0,000
1560447871.9191449,+1.4912,+001.39,+1.7381,0,000
1560447889.9397962,+1.4912,+001.39,+1.7380,0,000
1560447907.960908,+1.4912,+001.39,+1.7380,0,000
1560447925.9819229,+1.4912,+001.39,+1.7380,0,000
1560447944.0030172,+1.4912,+001.39,+1.7380,0,000
1560447962.0240476,+1.4912,+001.39,+1.7380,0,000
1560447980.0438633,+1.4912,+001.39,+1.7380,0,000
1560447998.0650046,+1.4913,+001.39,+1.7381,0,000
1560448016.086117,+1.4913,+001.39,+1.7380,0,000
1560448034.1070683,+1.4913,+001.39,+1.7380,0,000
1560448052.1281836,+1.4913,+001.39,+1.7380,0,000
1560448070.1492941,+1.4913,+001.39,+1.7380,0,000
